"Prevalence","beta0","beta1","auc"
0.122,-2.362708,0.994079891999603,0.750036175734717
0.511,0.01482834,1.08013390830512,0.749936969493235
0.8005,1.563124,0.973492116047553,0.74994012201021
0.148,-2.362708,1.35846343521575,0.800059081969293
0.505,0.01482834,1.44180628398145,0.79997399739974
0.791,1.563124,1.34514918752195,0.799989716850453
0.151,-2.362708,1.62455626414362,0.85002028096943
0.5215,0.01482834,1.94947644532485,0.850079296619449
0.738,1.563124,1.8232620563634,0.85003827137508
0.2535,-2.362708,2.54559854842228,0.899921527285122
0.5105,0.01482834,2.46390835811677,0.899922365763302
0.6945,1.563124,2.61305159300253,0.899920346797788
