"Prevalence","beta0","beta1","auc"
0.1,-2.55908966064453,0.954259306824423,0.75
0.5,0.0394234879604838,1.05580123366493,0.75
0.8,1.72423304669943,1.04983532523553,0.75
0.1,-2.77400970984901,1.18795635928522,0.8
0.5,0.0152714883552746,1.41008479455799,0.8
0.8,1.95324122912552,1.42868532038504,0.8
0.1,-3.25033577795725,1.74640650193915,0.85
0.5,0.0371357971320493,1.71932661050307,0.85
0.8,2.13577075781986,1.76627666996985,0.85
0.1,-3.55477112421238,2.10300138282423,0.9
0.5,-0.0073338300038045,2.38265375806255,0.9
0.8,2.49999940155249,2.46646107096542,0.9
